"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 25 09:21:17 CEST 2023","Fri Aug 25 09:21:54 CEST 2023","37768","firefox","","Landing B2C","","","Nawigacja - Blog",""
"passed","Fri Aug 25 09:21:16 CEST 2023","Fri Aug 25 09:21:31 CEST 2023","14370","firefox","","Landing B2C","","","Nawigacja - Cennik",""
"passed","Fri Aug 25 09:21:16 CEST 2023","Fri Aug 25 09:21:30 CEST 2023","13694","firefox","","Landing B2C","","","Nawigacja - Dla firmy",""
"passed","Fri Aug 25 09:21:16 CEST 2023","Fri Aug 25 09:21:30 CEST 2023","13596","firefox","","Landing B2C","","","Kafelki",""
"passed","Fri Aug 25 09:21:16 CEST 2023","Fri Aug 25 09:21:41 CEST 2023","24795","firefox","","Landing B2C","","","Nawigacja - Seriale",""
"passed","Fri Aug 25 09:21:56 CEST 2023","Fri Aug 25 09:23:13 CEST 2023","77097","firefox","","","","","Onboarding B2C",""
"passed","Fri Aug 25 09:21:30 CEST 2023","Fri Aug 25 09:22:25 CEST 2023","54624","firefox","","Landing B2C","","","Sekcja kategorie",""
"passed","Fri Aug 25 09:21:54 CEST 2023","Fri Aug 25 09:22:28 CEST 2023","33852","firefox","","Landing B2C","","","Footer",""
"broken","Fri Aug 25 09:21:30 CEST 2023","Fri Aug 25 09:24:35 CEST 2023","185060","firefox","","Landing B2C","","","Sekcja dla biznesu",""
"passed","Fri Aug 25 09:21:16 CEST 2023","Fri Aug 25 09:21:57 CEST 2023","40884","firefox","","Landing B2C","","","Baner 7 dni za darmo",""
"passed","Fri Aug 25 09:21:41 CEST 2023","Fri Aug 25 09:22:10 CEST 2023","28575","firefox","","Landing B2C","","","Sekcja najczęściej zadawane pytania",""
"passed","Fri Aug 25 09:21:16 CEST 2023","Fri Aug 25 09:21:56 CEST 2023","39364","firefox","","Landing B2C","","","Nawigacja - Kontakt",""
"passed","Fri Aug 25 09:21:16 CEST 2023","Fri Aug 25 09:22:00 CEST 2023","43320","firefox","","Landing B2C","","","Nawigacja - Autorzy",""
"passed","Fri Aug 25 09:21:31 CEST 2023","Fri Aug 25 09:22:00 CEST 2023","28723","firefox","","Landing B2C","","","Sekcja opinie",""
